application,mechanism,marker,relationship_type,supporting_study_count,supporting_study_ids,supporting_citation_keys,finding_pattern,evidence_settings,typical_facilities,common_design_methods,brief_rationale,direct_supporting_study_count,indirect_supporting_study_count,draft_basis
Traffic smoothing / mobile-actuator control,Stop-and-go waves,direct_limited_or_mixed,direct,16,S008; S014; S016; S021; S025; S028; S029; S034; S036; S040; S047; S050; S051; S054; S055; S056,Shumo Cui 2017; Bernat Goñi-Ros 2019; Gunter et al. 2021; Yu Han 2021; Hung and Zhang 2022; Kreidieh 2018; K. Kušić 2020; Sinan Öncü 2014; Papacharalampous et al. 2015; Qin and Wang 2021; S. Shladover 2012; Talebpour 2016; Van Arem 2006; Wang et al. 2016; Shian Wang 2023; Shian Wang 2022,mixed_or_conditional,analytical/theoretical; field experiment; simulation; test track,COR; FB; LD; RM; RR/SL; SG,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,"16 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",16,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,String instability,direct_limited_or_mixed,direct,9,S008; S016; S034; S046; S050; S055; S056; S025; S040,Shumo Cui 2017; Gunter et al. 2021; Sinan Öncü 2014; Mingfeng Shang 2021; Talebpour 2016; Shian Wang 2023; Shian Wang 2022; Hung and Zhang 2022; Qin and Wang 2021,mixed_or_conditional,analytical/theoretical; field experiment; simulation; test track,COR; RM; RR/SL,optimal control; other/unspecified; rule-based/control law,"7 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",7,2,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Congestion onset / breakdown,direct_repeated,direct,11,S010; S014; S021; S028; S029; S036; S047; S050; S051; S054; S055,Yu Du 2023; Bernat Goñi-Ros 2019; Yu Han 2021; Kreidieh 2018; K. Kušić 2020; Papacharalampous et al. 2015; S. Shladover 2012; Talebpour 2016; Van Arem 2006; Wang et al. 2016; Shian Wang 2023,broadly_consistent,analytical/theoretical; field experiment; simulation,COR; FB; LD; RM; RR/SL; SG,MPC; RL/MARL; optimal control; other/unspecified; rule-based/control law,11 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,11,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Capacity drop,direct_repeated,direct,4,S014; S021; S036; S054,Bernat Goñi-Ros 2019; Yu Han 2021; Papacharalampous et al. 2015; Wang et al. 2016,broadly_consistent,analytical/theoretical; simulation,COR; FB; RR/SL; SG,MPC; rule-based/control law,4 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,4,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Queue formation / discharge,direct_repeated,direct,2,S014; S036,Bernat Goñi-Ros 2019; Papacharalampous et al. 2015,broadly_consistent,simulation,COR; FB; RR/SL; SG,rule-based/control law,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Lane-changing friction,direct_repeated,direct,7,S010; S051; S008; S046; S047; S055; S056,Yu Du 2023; Van Arem 2006; Shumo Cui 2017; Mingfeng Shang 2021; S. Shladover 2012; Shian Wang 2023; Shian Wang 2022,broadly_consistent,analytical/theoretical; field experiment; simulation,COR; FB; LD; RM; RR/SL,optimal control; other/unspecified; rule-based/control law,2 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,2,5,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Merging turbulence,indirect,indirect,1,S051,Van Arem 2006,limited,simulation,LD,rule-based/control law,"No direct standardized mechanism code was found, but 1 study/studies mention the mechanism in findings or limitations, indicating mediated or contextual influence.",0,1,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Physical spillback,direct_limited_or_mixed,direct,1,S010,Yu Du 2023,limited,analytical/theoretical; simulation,COR; FB; RM,optimal control; rule-based/control law,One manuscript-linked coded study directly associates the application with this mechanism.,1,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Traffic smoothing / mobile-actuator control,Shifted / redistributed congestion,no_substantive_relationship,none,0,,,not_applicable,,,,No substantive relationship was identified in the manuscript-linked coded subset using the standardized mechanism field or supporting finding/limitation text.,0,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Speed harmonization / dynamic headway / bottleneck-inflow regulation,Stop-and-go waves,direct_repeated,direct,15,S003; S012; S013; S014; S019; S021; S024; S027; S029; S035; S036; S047; S051; S054; S055,An et al. 2023; A. Ghiasi 2019; Goñi-Ros et al. 2016; Bernat Goñi-Ros 2019; Ha 2023; Yu Han 2021; Chengying Hua 2023; Ko et al. 2020; K. Kušić 2020; Pan et al. 2021; Papacharalampous et al. 2015; S. Shladover 2012; Van Arem 2006; Wang et al. 2016; Shian Wang 2023,broadly_consistent,analytical/theoretical; field experiment; simulation,COR; FB; LD; RM; RR/SL; SG; WV,MPC; RL/MARL; optimal control; rule-based/control law,15 manuscript-linked coded studies directly associate the application with this mechanism; no explicit negative/mixed result was identified in the coded finding field.,15,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
Speed harmonization / dynamic headway / bottleneck-inflow regulation,String instability,direct_limited_or_mixed,direct,2,S046; S055,Mingfeng Shang 2021; Shian Wang 2023,mixed_or_conditional,analytical/theoretical; simulation,COR; RM; RR/SL,other/unspecified; rule-based/control law,"2 manuscript-linked coded studies directly associate the application with this mechanism, but at least one reports negative/mixed or strongly conditional effects.",2,0,latest-manuscript-linked coded subset plus newly verified uploaded full-text papers
